"zona","state","municipio","head","hotel"
"1","Cancun","Cancun","Cancun","Adhara Cancun"
"1","Cancun","Cancun","Cancun","Aloft Cancun"
"1","Cancun","Cancun","Cancun","Altitude By Krystal grand punta Cancun"
"1","Cancun","Cancun","Cancun","Ambiance Suites Cancun"
"1","Cancun","Cancun","Cancun","Aquamarina Beach Cancun"
"1","Cancun","Cancun","Cancun","AR Villa Sicilia Cancun"
"1","Cancun","Cancun","Cancun","Aristos Cancun Plaza"
"1","Cancun","Cancun","Cancun","Avalon Grand Hotel Cancun"
"1","Cancun","Cancun","Cancun","Barcelo Costa Cancun"
"1","Cancun","Cancun","Cancun","Barcelo Tucancun Beach Cancun"
"1","Cancun","Cancun","Cancun","Bay View Grand Cancún"
"1","Cancun","Cancun","Cancun","Bay View Grand Porto Fino"
"1","Cancun","Cancun","Cancun","Beach Palace Cancun"
"1","Cancun","Cancun","Cancun","Beachscape Kin Ha Villas Cancun"
"1","Cancun","Cancun","Cancun","Bel Air Cancun"
"1","Cancun","Cancun","Cancun","Bel Air Collection Cancun"
"1","Cancun","Cancun","Cancun","Bellevue Beach Paradise Cancun"
"1","Cancun","Cancun","Cancun","Blue Lagoon Cancun"
"1","Cancun","Cancun","Cancun","BSEA Cancun Plaza Hotel"
"1","Cancun","Cancun","Cancun","Calypso Hotel Cancun"
"1","Cancun","Cancun","Cancun","Cancun Bay Resort Cancun"
"1","Cancun","Cancun","Cancun","Cancun Beach Escape Condos"
"1","Cancun","Cancun","Cancun","Cancun Clipper Club"
"1","Cancun","Cancun","Cancun","Cancun Palace Condos"
"1","Cancun","Cancun","Cancun","Cancun Plaza Sea View"
"1","Cancun","Cancun","Cancun","Caribbean Village Cancun "
"1","Cancun","Cancun","Cancun","Carisa y Palma Cancun"
"1","Cancun","Cancun","Cancun","Casa Gaviotas Cancun"
"1","Cancun","Cancun","Cancun","Casa Maria Cancun"
"1","Cancun","Cancun","Cancun","Casa Maya Cancun"
"1","Cancun","Cancun","Cancun","Casa Tortugas Boutique Hotel"
"1","Cancun","Cancun","Cancun","Celuisma Maya Caribe Cancun"
"1","Cancun","Cancun","Cancun","City Express Cancun"
"1","Cancun","Cancun","Cancun","Club Carrousel Cancún"
"1","Cancun","Cancun","Cancun","Club Med Cancun"
"1","Cancun","Cancun","Cancun","Club Verano Beat Cancun"
"1","Cancun","Cancun","Cancun","Condominio Bellamar Cancun"
"1","Cancun","Cancun","Cancun","Condominios Las Brisas"
"1","Cancun","Cancun","Cancun","Coral Mar Cancun"
"1","Cancun","Cancun","Cancun","Crown Paradise Club Cancun"
"1","Cancun","Cancun","Cancun","Dreams Sands Cancun"
"1","Cancun","Cancun","Cancun","Elite Car rental Downtown Ave Nader"
"1","Cancun","Cancun","Cancun","Emerald RESIDENTIAL TOWER & SPA"
"1","Cancun","Cancun","Cancun","Emporio Cancun"
"1","Cancun","Cancun","Cancun","Fiesta Americana Condesa Cancun"
"1","Cancun","Cancun","Cancun","Fiesta Americana Grand Coral Beach Cancun"
"1","Cancun","Cancun","Cancun","Fiesta Americana Vacation Club Cancun"
"1","Cancun","Cancun","Cancun","Fiesta Americana Villas Cancun"
"1","Cancun","Cancun","Cancun","Girasol Condos Cancun"
"1","Cancun","Cancun","Cancun","Golden Crown"
"1","Cancun","Cancun","Cancun","Golden Parnassus Cancun"
"1","Cancun","Cancun","Cancun","Gr Caribe by Solaris Cancun"
"1","Cancun","Cancun","Cancun","Gr Solaris Cancun"
"1","Cancun","Cancun","Cancun","Gran Caribe Real Cancun"
"1","Cancun","Cancun","Cancun","Gran Meliá Cancun"
"1","Cancun","Cancun","Cancun","Grand Oasis Cancun"
"1","Cancun","Cancun","Cancun","Grand Oasis Palm Beach"
"1","Cancun","Cancun","Cancun","Grand Oasis Resort"
"1","Cancun","Cancun","Cancun","Grand Oasis Sens Cancun"
"1","Cancun","Cancun","Cancun","Grand Park Royal"
"1","Cancun","Cancun","Cancun","Grand Park Royal Caribe Cancun"
"1","Cancun","Cancun","Cancun","Grand Royal Lagoon Cancun"
"1","Cancun","Cancun","Cancun","Great Parnassus Cancun"
"1","Cancun","Cancun","Cancun","Green 16 Cancun"
"1","Cancun","Cancun","Cancun","Hard Rock Cancun"
"1","Cancun","Cancun","Cancun","Holiday Inn Cancun Arenas"
"1","Cancun","Cancun","Cancun","Hostal Mayapan Cancun"
"1","Cancun","Cancun","Cancun","Hostel Natura"
"1","Cancun","Cancun","Cancun","Hotel Cancun Plaza Condo"
"1","Cancun","Cancun","Cancun","Hotel Casa Turquesa Cancun"
"1","Cancun","Cancun","Cancun","Hotel Dos Playas Cancun"
"1","Cancun","Cancun","Cancun","Hotel Flamingo Cancun"
"1","Cancun","Cancun","Cancun","Hotel Flamingo Cancun Resort"
"1","Cancun","Cancun","Cancun","Hotel Imperial Laguna"
"1","Cancun","Cancun","Cancun","Hotel Imperial Laguna by Celuisma"
"1","Cancun","Cancun","Cancun","Hotel Imperial Las Perlas Cancun"
"1","Cancun","Cancun","Cancun","Hotel Margaritas Cancun"
"1","Cancun","Cancun","Cancun","Hotel Mia Cancun "
"1","Cancun","Cancun","Cancun","Hotel Occidental Costa Cancun"
"1","Cancun","Cancun","Cancun","Hotel Riu Cancun"
"1","Cancun","Cancun","Cancun","Hotel Riu Caribe"
"1","Cancun","Cancun","Cancun","Hotel Riu Palace Las Americas Cancun"
"1","Cancun","Cancun","Cancun","Hotel Solymar Beach Resort Cancun"
"1","Cancun","Cancun","Cancun","Hotel Sotavento Cancun"
"1","Cancun","Cancun","Cancun","Hotel Yalmakan"
"1","Cancun","Cancun","Cancun","Hyatt Cancún Caribe Villas & Resort"
"1","Cancun","Cancun","Cancun","Hyatt Regency Cancún"
"1","Cancun","Cancun","Cancun","Hyatt Zilara Cancun"
"1","Cancun","Cancun","Cancun","Hyatt Ziva Cancun"
