"id","zona","title_zone","id_agency","type_unit","place_service","tariff"
"1","1",NULL,"19","1","LOCAL","750.00"
"2","1",NULL,"19","2","LOCAL","400.00"
"3","2",NULL,"19","1","LOCAL","750.00"
"4","2",NULL,"19","2","LOCAL","400.00"
"5","3",NULL,"19","1","LOCAL","750.00"
"6","3",NULL,"19","2","LOCAL","500.00"
"7","4",NULL,"19","1","LOCAL","700.00"
"8","4",NULL,"19","2","LOCAL","550.00"
"9","5",NULL,"19","1","LOCAL","750.00"
"10","5",NULL,"19","2","LOCAL","400.00"
"11","6",NULL,"19","1","CORREDOR","1000.00"
"12","6",NULL,"19","2","CORREDOR","475.00"
"13","7",NULL,"19","1","CORREDOR","1044.00"
"14","7",NULL,"19","2","CORREDOR","660.00"
"15","8",NULL,"19","1","CORREDOR","1044.00"
"16","8",NULL,"19","2","CORREDOR","660.00"
"17","9",NULL,"19","2","CORREDOR","750.00"
"18","10",NULL,"19","2","CORREDOR","860.00"
"19","11",NULL,"19","2","CORREDOR","1023.00"
"20","12",NULL,"19","2","CORREDOR","1050.00"
"21","1",NULL,"13","1","LOCAL","700.00"
"22","1",NULL,"13","2","LOCAL","400.00"
"23","2",NULL,"13","1","LOCAL","700.00"
"24","2",NULL,"13","2","LOCAL","400.00"
"25","3",NULL,"13","1","LOCAL","700.00"
"26","3",NULL,"13","2","LOCAL","580.00"
"27","4",NULL,"13","1","LOCAL","900.00"
"28","4",NULL,"13","2","LOCAL","580.00"
"29","5",NULL,"13","1","LOCAL","750.00"
"30","5",NULL,"13","2","LOCAL","580.00"
"31","6",NULL,"13","1","CORREDOR","1150.00"
"32","6",NULL,"13","2","CORREDOR","735.00"
"33","7",NULL,"13","1","CORREDOR","1150.00"
"34","7",NULL,"13","2","CORREDOR","840.00"
"35","8",NULL,"13","1","CORREDOR","1150.00"
"36","8",NULL,"13","2","CORREDOR","840.00"
"37","9",NULL,"13","1","CORREDOR","1400.00"
"38","9",NULL,"13","2","CORREDOR","950.00"
"39","10",NULL,"13","1","CORREDOR","1600.00"
"40","10",NULL,"13","2","CORREDOR","1000.00"
"41","11",NULL,"13","1","CORREDOR","1950.00"
"42","11",NULL,"13","2","CORREDOR","1500.00"
"43","12",NULL,"13","1","CORREDOR","1950.00"
"44","12",NULL,"13","2","CORREDOR","1200.00"
"45","13",NULL,"13","1","CORREDOR","2500.00"
"46","13",NULL,"13","2","CORREDOR","1900.00"
"47","1",NULL,"3","1","LOCAL","700.00"
"48","1",NULL,"3","2","LOCAL","400.00"
"49","2",NULL,"3","1","LOCAL","700.00"
"50","2",NULL,"3","2","LOCAL","400.00"
